,name,NFLTeam,Pos,cost,keeper,team,manager
10,Julio Jones,Atl,WR,85,,Cry me a Philip,Evan
1,Antonio Brown,Pit,WR,81,,Chi ShingT's Team,Chi Shing
17,Kareem Hunt,KC,RB,79,,FirstRoundFlops,Rajiv
5,Saquon Barkley,NYG,RB,74,,Bye Week,Doug
14,Keenan Allen,LAC,WR,71,,Ey Yo Nagster,Sean
9,A.J. Green,Cin,WR,67,,Yeezekiel Elliott,Jake
27,Christian McCaffrey,Car,RB,67,,Threemen one Kupp,Ron
166,Le'Veon Bell,Pit,RB,66,AB,Threemen one Kupp,Ron
29,Jordan Howard,Chi,RB,64,,FirstRoundFlops,Rajiv
157,Dalvin Cook,Min,RB,64,B,2 Gurley's 1 Cup,Matt
2,Rob Gronkowski,NE,TE,64,,Evan NOT-Almighty,Dai
3,Leonard Fournette,Jax,RB,60,,Ey Yo Nagster,Sean
13,Tyreek Hill,KC,WR,60,,Nags,Ryan
41,Alex Collins,Bal,RB,56,,Threemen one Kupp,Ron
170,DeAndre Hopkins,Hou,WR,56,B,Evan NOT-Almighty,Dai
180,Ezekiel Elliott,Dal,RB,55,B,Yeezekiel Elliott,Jake
26,Travis Kelce,KC,TE,52,,Nags,Ryan
25,Joe Mixon,Cin,RB,51,,Chi ShingT's Team,Chi Shing
32,Aaron Rodgers,GB,QB,51,,Nags,Ryan
4,T.Y. Hilton,Ind,WR,51,,Cry me a Philip,Evan
28,Zach Ertz,Phi,TE,49,,Yeezekiel Elliott,Jake
151,Amari Cooper,Oak,WR,43,AB,FirstRoundFlops,Rajiv
11,Larry Fitzgerald,Ari,WR,41,,Ron Ng away with it,Andrew
15,Alshon Jeffery,Phi,WR,40,,2 Gurley's 1 Cup,Matt
158,Todd Gurley II,LAR,RB,40,AB,2 Gurley's 1 Cup,Matt
23,Brandin Cooks,LAR,WR,39,,Yeezekiel Elliott,Jake
38,Mark Ingram,NO,RB,39,,Chi ShingT's Team,Chi Shing
169,Melvin Gordon III,LAC,RB,39,AB,Evan NOT-Almighty,Dai
44,Demaryius Thomas,Den,WR,38,,G,Jiwei
